# RICHARDS ET AL. 2006_AJ_131_2766
# Differential counts for g band with 0.4 < z < 2.2, M_g < 22.5, N per 0.25 mag deg^-2
# Differential counts for i band with 0.3 < z < 2.2, M_i < 22.5, N per 0.25 mag deg^-2
# Cumulative number counts N(<x) in units of deg^-2 for  0.3 < z < 2.2
# Table differs from published version; i-band columns moved up by 1 row as instructed by Gordon Richards 
M         N_g  dN_g      N(<g) dN(<g)  N_Q    N_i  dN_i      N(<i) dN(<i)  N_Q
15.475    0.00 0.00      0.00 0.00       2    0.00 0.00      0.00 0.00       3
15.725    0.00 0.00      0.00 0.00       3    0.00 0.00      0.00 0.00       2 
15.975    0.00 0.00      0.01 0.00       4    0.01 0.00      0.02 0.00      10
16.225    0.01 0.00      0.01 0.00      11    0.01 0.00      0.02 0.00      12 
16.475    0.01 0.00      0.02 0.00      10    0.01 0.00      0.03 0.00      23 
16.725    0.02 0.00      0.04 0.00      32    0.04 0.01      0.08 0.01      67 
16.975    0.06 0.01      0.10 0.01      85    0.07 0.01      0.15 0.01     107 
17.225    0.08 0.01      0.17 0.01     117    0.11 0.01      0.26 0.01     174 
17.475    0.12 0.01      0.29 0.01     190    0.21 0.01      0.47 0.01     327  
17.725    0.23 0.01      0.53 0.01     357    0.33 0.01      0.80 0.01     511 
17.975    0.31 0.01      0.83 0.01     472    0.55 0.02      1.35 0.02     849 
18.225    0.56 0.02      1.40 0.02     868    0.82 0.02      2.17 0.02    1257 
18.475    0.78 0.02      2.18 0.02    1202    1.25 0.03      3.42 0.03    1923 
18.725    1.19 0.03      3.37 0.03    1839    1.86 0.04      5.28 0.03    2870 
18.975    1.70 0.03      5.07 0.03    2620    2.62 0.04      7.90 0.04    4028 
19.225    1.61 0.03      6.68 0.03    2484    ...    ...      ...  ...      900  
19.475    0.56 0.02      7.24 0.02     855    ...    ...      ...  ...      216  
19.725    0.13 0.01      7.37 0.01     206    ...    ...      ...  ...       55 
19.975    0.03 0.01      7.41 0.00      53    ...    ...      ...  ...       20 
20.225    0.01 0.00      7.42 0.00      19    ...    ...      ...  ...      ...
