# rp DS DS_err
1.177659999999999957e-01 5.395319383417647430e+01 4.712094271619434060e+00
1.596100000000000019e-01 4.750365740512775403e+01 3.403905457632492748e+00
2.163229999999999875e-01 3.359252797323353690e+01 2.737518644850297722e+00
2.931860000000000022e-01 2.978906708664883496e+01 2.009427910490831248e+00
3.973599999999999910e-01 2.073458136641388450e+01 1.536691260298343575e+00
5.385499999999999732e-01 1.698424689843266577e+01 1.077334846024501580e+00
7.299060000000000548e-01 1.202917103417060574e+01 7.780219715146100556e-01
9.892539999999999667e-01 8.434459877120691118e+00 6.387579370740943396e-01
1.340750000000000108e+00 6.301529605390501665e+00 4.189707986395708184e-01
1.817150000000000043e+00 4.452173717821661825e+00 3.434239306391608793e-01
2.462810000000000166e+00 2.656111680855165247e+00 2.267643699530282053e-01
3.337899999999999867e+00 1.920406753251678866e+00 1.742995272735475276e-01
4.523909999999999876e+00 1.486832876371116718e+00 1.378934053567798246e-01
6.131339999999999790e+00 1.240048256402422000e+00 1.055751095313871429e-01
8.309910000000000352e+00 8.329715475871527497e-01 8.436816662496947339e-02
1.126260000000000083e+01 6.395284258994836657e-01 6.739646466969444194e-02
1.526440000000000019e+01 5.747984295354766626e-01 5.802016767692419474e-02
2.068809999999999860e+01 3.384658203911137253e-01 4.306578978196466678e-02
2.803890000000000171e+01 3.087988086625079731e-01 4.105111203465718756e-02
3.800169999999999959e+01 2.678427377729259429e-01 3.613375769550531552e-02
5.150430000000000064e+01 2.041999837652884175e-01 3.580822772904986712e-02
6.980469999999999686e+01 1.025519682247273967e-01 3.080284725100546767e-02
9.460760000000000502e+01 6.030899612060478671e-02 3.326998912026185584e-02
1.282230000000000132e+02 3.663506992366749593e-02 3.259262708018616228e-02
1.737829999999999870e+02 3.166424505503714903e-02 4.012270716729177816e-02
