redshift    median_ri     lambda
     0.429804     0.587341      234.504
     0.304161     0.493731      195.070
     0.419369     0.582592      174.460
     0.301129     0.491310      146.238
     0.351486     0.535444      178.838
     0.367879     0.547794      139.175
     0.240082     0.451359      135.484
     0.226232     0.441341      136.201
     0.326426     0.525959      141.082
     0.526202     0.753048      160.334
     0.297825     0.486584      140.350
     0.277702     0.474514      129.000
     0.604524     0.930773      169.075
     0.281860     0.483500      132.616
     0.591194     0.885464      144.881
     0.418314     0.580475      127.978
     0.231156     0.447027      136.780
     0.347898     0.534246      139.938
     0.493429     0.684984      126.987
     0.425081     0.582006      130.388
     0.443341     0.600870      138.535
     0.613111     0.939926      145.598
     0.327470     0.519196      113.501
     0.401050     0.572681      138.809
     0.287125     0.478638      113.379
     0.343000     0.530752      119.252
     0.637054     0.977835      137.223
     0.240871     0.452026      102.090
     0.471824     0.644676      121.998
     0.230380     0.441267      96.8123
     0.484517     0.679184      113.013
     0.481504     0.663292      124.409
     0.440383     0.602476      115.606
     0.519141     0.733847      111.838
     0.278950     0.475080      82.5336
     0.535904     0.768530      119.085
     0.404868     0.564610      100.641
     0.509806     0.715940      114.920
     0.293724     0.488348      98.9022
     0.584592     0.883913      104.699
     0.486576     0.680120      112.083
     0.401230     0.556614      100.885
     0.282410     0.481167      96.8123
     0.260750     0.457945      93.3952
     0.284561     0.473085      101.084
     0.624142     0.967237      126.361
     0.379800     0.547514      123.661
     0.357057     0.534172      87.9186
     0.531323     0.757490      107.842
     0.422802     0.587982      102.838
     0.337294     0.513802      83.6015
     0.380680     0.553148      92.9375
     0.269679     0.460426      84.4405
     0.269601     0.468616      80.8861
     0.316942     0.514353      70.0703
     0.289871     0.481392      101.267
     0.206952     0.427393      86.5762
     0.220522     0.438278      89.3831
     0.391258     0.561512      106.377
     0.283446     0.476761      96.0495
     0.312795     0.504904      79.1623
     0.287172     0.476318      93.4257
     0.379801     0.552813      94.7376
     0.523132     0.734121      92.4494
     0.221658     0.438046      91.1984
     0.248351     0.455198      79.8640
     0.268980     0.470669      81.4353
     0.429607     0.597555      107.323
     0.283019     0.484186      102.090
     0.619962     0.956625      114.066
     0.303798     0.490999      77.6215
     0.355517     0.544931      88.0559
     0.333748     0.533115      72.5721
     0.222768     0.437477      82.6404
     0.427853     0.586187      91.7171
     0.435778     0.586231      93.1511
     0.451109     0.612377      101.435
     0.460369     0.642319      109.565
     0.590450     0.882263      81.6183
     0.485490     0.678652      93.1969
     0.582948     0.861134      95.9733
     0.564121     0.821453      86.8203
     0.285348     0.480350      81.4048
     0.309277     0.503771      77.7131
     0.421123     0.579082      101.511
     0.479440     0.668413      75.6994
     0.338817     0.532364      75.3180
     0.461171     0.638918      101.038
     0.486336     0.674685      73.0755
     0.211315     0.437490      77.3317
     0.498265     0.700874      82.4726
     0.408581     0.571821      83.4337
     0.510522     0.729452      77.3469
     0.205699     0.431828      72.1297
     0.648587      1.01511      115.179
     0.441915     0.605249      76.6757
     0.484347     0.682775      89.7797
     0.211453     0.424812      76.8283
     0.627125     0.958292      90.7713
     0.451254     0.629156      89.0475
     0.299077     0.495543      77.3164
     0.231107     0.445923      73.3806
     0.284977     0.486475      61.7563
     0.201964     0.427643      62.7174
     0.409111     0.566692      83.6472
     0.612694     0.928915      81.4963
     0.636994     0.980915      101.831
     0.308949     0.498749      73.8688
     0.550676     0.805521      85.4168
     0.662697      1.03392      87.9644
     0.312412     0.495344      72.1755
     0.300686     0.495367      91.4273
     0.238588     0.446463      77.5452
     0.393850     0.556866      81.3285
     0.517537     0.739037      74.1129
     0.645300     0.990099      91.5188
     0.584554     0.870241      77.8351
     0.592741     0.899504      93.7155
     0.527930     0.758419      74.6315
     0.569067     0.851614      90.4967
     0.300381     0.484682      74.3722
     0.287362     0.482794      73.1060
     0.515834     0.742571      84.8676
     0.259859     0.468857      81.8166
     0.313159     0.504251      60.6122
     0.514978     0.733204      80.7030
     0.283714     0.477800      67.5685
     0.289912     0.482967      76.9045
     0.394491     0.551428      75.4858
     0.220960     0.445713      60.1393
     0.411773     0.570583      66.2261
     0.515493     0.740984      78.1554
     0.316310     0.511801      67.6295
     0.387164     0.554579      75.8825
     0.594518     0.901085      32.8024
     0.381814     0.555716      74.9672
     0.382987     0.559589      65.9362
     0.617957     0.961651      88.5136
     0.474133     0.658386      91.5188
     0.591841     0.895374      83.6320
     0.405581     0.571478      70.4212
     0.291878     0.489019      68.1634
     0.382791     0.567587      86.3779
     0.257182     0.462130      67.2176
     0.392346     0.553833      67.8126
     0.357301     0.537249      66.4854
     0.375781     0.555040      71.8857
     0.410154     0.568745      103.784
     0.409241     0.568846      77.4080
     0.606145     0.934448      59.6512
     0.498661     0.702732      73.9908
     0.287313     0.481163      55.2425
     0.491469     0.689041      75.6689
     0.544450     0.792805      95.5004
     0.260474     0.456465      61.3292
     0.321988     0.515493      77.0876
     0.300236     0.493919      59.5139
     0.481650     0.670940      71.1382
     0.373271     0.545179      75.4706
     0.401424     0.565065      81.8319
     0.535063     0.776276      72.1450
     0.470152     0.655184      71.0161
     0.222537     0.437765      65.0819
     0.446900     0.625914      74.5705
     0.380640     0.572121      61.0241
     0.491889     0.683363      77.5758
     0.267956     0.470774      61.3902
     0.538870     0.784483      70.5432
     0.618946     0.951048      89.2306
     0.462694     0.650635      75.0129
     0.381922     0.561930      70.2839
