# zavg LumF814W hlr_kpc hlr_kpc_std
0.250 11.232 75.433 199.107
0.250 10.811 7.928 16.962
0.250 10.422 8.806 43.753
0.250 10.034 5.731 29.521
0.250 9.654 2.795 8.377
0.250 9.248 2.266 5.809
0.250 8.846 1.530 2.734
0.250 8.457 1.063 1.234
0.250 8.070 0.753 0.550
0.250 7.792 0.560 0.348
0.250 7.344 0.273 0.149
0.250 6.954 0.108 0.101
0.250 6.468 0.074 0.000
0.750 12.317 784.034 0.000
0.750 12.124 1226.148 502.701
0.750 11.521 35.209 70.495
0.750 11.127 13.348 69.769
0.750 10.751 6.372 24.079
0.750 10.372 3.742 9.480
0.750 9.983 2.554 4.579
0.750 9.590 1.888 2.186
0.750 9.209 1.380 1.099
0.750 8.934 1.052 0.618
0.750 8.432 0.531 0.373
0.750 8.120 0.376 0.251
0.750 7.536 0.822 0.690
1.250 0.000 0.000 0.000
1.250 12.529 2259.360 400.221
1.250 12.064 723.960 690.871
1.250 11.690 72.775 158.292
1.250 11.276 16.112 55.159
1.250 10.902 6.577 19.536
1.250 10.520 3.923 8.279
1.250 10.129 2.732 3.603
1.250 9.751 1.724 1.411
1.250 9.474 1.266 0.790
1.250 8.982 0.628 0.392
1.250 8.618 0.208 0.056
1.250 8.315 0.017 0.000
1.750 0.000 0.000 0.000
1.750 12.992 2265.736 1224.665
1.750 12.459 1158.031 90.097
1.750 12.071 282.221 245.469
1.750 11.650 135.186 179.722
1.750 11.238 13.354 34.097
1.750 10.884 5.158 12.815
1.750 10.474 3.450 5.106
1.750 10.093 1.823 1.652
1.750 9.826 1.175 0.723
1.750 9.316 0.584 0.354
1.750 8.980 0.173 0.080
1.750 0.000 0.000 0.000
2.250 0.000 0.000 0.000
2.250 0.000 0.000 0.000
2.250 12.825 1670.598 0.000
2.250 12.208 183.390 176.241
2.250 11.889 55.061 92.828
2.250 11.488 12.025 31.293
2.250 11.151 4.299 10.688
2.250 10.742 2.898 4.843
2.250 10.360 1.687 1.560
2.250 10.097 1.191 0.826
2.250 9.650 0.648 0.449
2.250 9.275 0.132 0.000
2.250 0.000 0.000 0.000
2.750 0.000 0.000 0.000
2.750 0.000 0.000 0.000
2.750 12.792 17.772 0.000
2.750 12.533 12.048 1.975
2.750 12.117 128.668 141.874
2.750 11.707 7.150 24.896
2.750 11.370 2.952 9.651
2.750 10.946 2.652 4.181
2.750 10.566 1.560 1.422
2.750 10.312 1.099 0.788
2.750 9.780 0.693 0.465
2.750 0.000 0.000 0.000
2.750 0.000 0.000 0.000
