# zavg LumF814W_bulge bulge_bhlr_kpc bulge_avgstd_bhlr bulge_dhlr_kpc bulge_avgstd_dhlr LumF814W_disk disk_avg_bhlr disk_avgstd_bhlr disk_avg_dhlr disk_avgstd_dhlr 
0.250 10.875 3.439 1.315 9.157 4.015 10.802 1.679 1.228 16.250 24.005
0.250 10.163 2.119 5.144 4.855 4.686 10.115 1.370 1.468 5.044 7.652
0.250 9.474 1.189 2.860 1.915 2.541 9.407 0.997 1.540 2.811 3.654
0.250 8.605 1.029 2.482 1.267 2.248 8.631 0.529 0.659 1.486 1.254
0.250 7.968 0.462 0.484 0.559 0.555 7.990 0.277 0.235 0.834 0.451
0.250 7.361 0.237 0.028 1.035 0.483 7.278 0.175 0.114 0.435 0.276
0.750 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
0.750 11.101 3.608 1.601 10.073 4.253 11.149 7.036 15.380 41.585 53.030
0.750 10.478 2.149 3.011 4.673 5.332 10.433 1.627 4.042 6.106 9.175
0.750 9.765 1.218 1.317 2.100 2.454 9.749 0.844 1.105 2.772 2.280
0.750 9.148 0.772 0.834 1.004 0.870 9.145 0.506 0.443 1.561 0.876
0.750 8.237 0.389 0.181 0.438 0.186 8.340 0.263 0.157 0.883 0.751
1.250 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
1.250 0.000 0.000 0.000 0.000 0.000 11.834 34.877 43.542 137.362 26.629
1.250 10.896 12.871 35.723 12.485 23.453 10.956 8.554 15.022 28.758 33.959
1.250 10.218 1.919 2.926 3.076 5.401 10.203 1.207 1.500 4.103 4.020
1.250 9.684 0.998 1.075 1.381 1.208 9.675 0.603 0.496 1.936 1.118
1.250 8.990 0.613 0.230 0.578 0.112 8.974 0.399 0.241 0.894 0.360
1.750 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
1.750 0.000 0.000 0.000 0.000 0.000 12.272 7.643 4.927 152.384 37.685
1.750 11.340 90.182 0.000 33.429 0.000 11.397 12.451 13.987 61.192 36.571
1.750 10.481 3.330 6.333 4.403 10.084 10.504 1.677 2.240 6.310 6.800
1.750 10.003 0.969 0.998 1.277 1.160 9.998 0.631 0.535 2.010 1.355
1.750 9.385 0.414 0.140 0.636 0.515 9.371 0.386 0.294 0.858 0.427
2.250 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
2.250 0.000 0.000 0.000 0.000 0.000 12.352 11.004 3.756 122.805 2.203
2.250 11.839 130.953 25.470 116.556 50.435 11.613 16.157 23.946 41.058 22.744
2.250 10.723 2.925 7.849 3.963 10.550 10.751 1.492 2.439 5.141 5.462
2.250 10.265 0.988 0.964 1.217 1.161 10.276 0.594 0.504 1.887 1.319
2.250 9.621 0.615 0.098 0.700 0.126 9.550 0.381 0.353 0.747 0.354
2.750 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
2.750 0.000 0.000 0.000 0.000 0.000 12.538 15.168 0.000 96.935 0.000
2.750 11.772 67.976 7.217 122.603 15.101 11.928 15.693 26.126 44.873 23.178
2.750 10.945 3.948 10.647 5.204 16.753 10.936 1.379 1.996 4.813 5.799
2.750 10.467 0.818 0.981 1.053 0.943 10.466 0.560 0.499 1.713 1.136
2.750 9.393 0.324 0.000 0.245 0.000 9.751 0.222 0.083 0.605 0.330
