#Table 5
#Logarithmic Size Distributions (16%-84% Range) for the Full Population 
#(Early- and Late-type Galaxies Combined) as a Function of rest frame V-band luminosity and Redshift, 
#Early+Late Type Galaxies
#2.75 10.75 0.41 0.62 0.11
#2.75 11.25 0.52 0.74 0.12
#z log10L*  log10Size_L*  log10Size_L*_high  log10Size_L*_low
0.25 9.25 0.37 0.62 0.14
0.25 9.75 0.53 0.74 0.26
0.25 10.25 0.62 0.85 0.37
0.25 10.75 0.79 1.05 0.62
0.75 9.25 0.29 0.54 0.05
0.75 9.75 0.44 0.66 0.18
0.75 10.25 0.54 0.76 0.28
0.75 10.75 0.68 0.90 0.40
0.75 11.25 0.83 1.04 0.62
1.25 9.25 0.30 0.64 0.02
1.25 9.75 0.36 0.60 0.10
1.25 10.25 0.47 0.69 0.19
1.25 10.75 0.58 0.79 0.29
1.25 11.25 0.67 0.91 0.36 
1.75 9.75 0.32 0.58 0.05
1.75 10.25 0.39 0.61 0.12
1.75 10.75 0.51 0.73 0.16
1.75 11.25 0.51 0.83 0.22
2.25 10.25 0.33 0.55 0.07
2.25 10.75 0.43 0.64 0.15
2.25 11.25 0.45 0.74 0.10

